bytes,average_time_ms
8,12.6
1032,12.6
2056,12.7
3080,12.7
4104,12.6
5128,12.6
6152,13.9
7176,13.0
8200,13.9
9224,13.3
10248,13.4
11272,13.8
12296,14.3
13320,13.4
14344,13.8
15368,13.7
16392,13.9
17416,13.7
18440,14.6
19464,14.0
20488,14.1
21512,14.3
22536,14.3
23560,14.5
24584,14.5
25608,14.5
26632,15.4
27656,15.6
28680,15.2
29704,14.9
30728,15.4
31752,15.7
32776,15.4
33800,15.6
34824,16.0
35848,15.6
36872,15.4
37896,15.7
38920,16.3
39944,16.7
40968,16.4
41992,16.5
43016,16.7
44040,16.4
45064,18.3
46088,18.0
47112,17.7
48136,16.5
49160,16.7
50184,17.0
51208,18.1
52232,17.5
53256,17.0
54280,17.1
55304,17.2
56328,17.8
57352,18.4
58376,17.9
59400,17.9
60424,25.4
61448,19.0
62472,18.1
63496,18.4
64520,18.3
65544,18.9
66568,19.1
67592,19.4
68616,18.8
69640,19.2
70664,19.3
71688,20.2
72712,20.3
73736,19.6
74760,20.2
75784,19.8
76808,20.6
77832,21.3
78856,20.1
79880,20.1
80904,20.2
81928,20.9
82952,20.4
83976,20.7
85000,21.1
86024,21.3
87048,20.9
88072,21.4
89096,21.3
90120,20.8
91144,21.4
92168,22.6
93192,24.2
94216,21.5
95240,23.3
96264,23.0
97288,22.3
98312,21.3
99336,22.2
100360,23.1
101384,22.6
102408,22.5
103432,23.0
104456,22.2
105480,23.5
106504,22.3
107528,22.5
108552,23.3
109576,21.9
110600,24.2
111624,23.0
112648,24.1
113672,22.8
114696,24.0
115720,23.5
116744,23.9
117768,23.4
118792,24.9
119816,23.9
120840,23.7
121864,24.6
122888,23.5
123912,24.1
124936,24.2
125960,25.0
126984,24.1
128008,24.2
129032,24.7
130056,24.2
131080,24.3
132104,24.1
133128,24.6
134152,24.3
135176,25.2
136200,25.2
137224,64.7
138248,25.3
139272,25.1
140296,24.9
141320,36.4
142344,62.6
143368,68.5
144392,25.5
145416,26.0
146440,26.0
147464,26.2
148488,25.8
149512,25.9
150536,63.6
151560,25.9
152584,26.4
153608,26.9
154632,67.5
155656,26.8
156680,26.6
157704,63.9
158728,26.5
159752,26.5
160776,27.3
161800,26.6
162824,27.7
163848,27.4
164872,27.7
165896,63.7
166920,68.8
167944,27.6
168968,69.0
169992,28.6
171016,64.9
172040,35.0
173064,29.7
174088,30.7
175112,29.4
176136,28.1
177160,72.9
178184,31.5
179208,32.1
180232,29.4
181256,29.0
182280,29.4
183304,82.4
184328,37.0
185352,35.0
186376,33.2
187400,31.1
188424,30.3
189448,71.7
190472,32.7
191496,30.6
192520,30.7
193544,30.2
194568,40.7
195592,35.5
196616,33.8
197640,34.3
198664,31.5
199688,44.7
200712,34.6
201736,33.9
202760,32.7
203784,32.3
204808,72.5
205832,35.7
206856,34.6
207880,34.0
208904,35.2
209928,44.2
210952,37.9
211976,34.2
213000,45.4
214024,36.6
215048,37.7
216072,35.4
217096,44.2
218120,37.5
219144,54.6
220168,37.6
221192,46.4
222216,37.6
223240,35.6
224264,35.2
225288,48.0
226312,37.1
227336,38.6
228360,35.3
229384,44.9
230408,39.0
231432,35.7
232456,35.4
233480,44.3
234504,39.4
235528,50.8
236552,45.3
237576,39.0
238600,37.4
239624,38.0
240648,44.4
241672,36.6
242696,45.6
243720,40.9
244744,38.5
245768,47.7
246792,40.2
247816,39.6
248840,38.0
249864,37.6
250888,51.2
251912,39.9
252936,37.9
253960,47.6
254984,45.7
256008,40.1
257032,38.3
258056,48.3
259080,57.8
260104,40.4
261128,37.3
262152,38.3
263176,49.8
264200,40.9
265224,38.8
266248,53.2
267272,40.2
268296,38.9
269320,51.3
270344,40.8
271368,49.5
272392,44.0
273416,42.2
274440,39.6
275464,51.3
276488,41.9
277512,40.2
278536,39.7
279560,48.4
280584,41.8
281608,41.3
282632,53.0
283656,45.2
284680,44.7
285704,54.2
286728,43.6
287752,55.0
288776,46.0
289800,41.4
290824,53.0
291848,43.8
292872,42.9
293896,65.2
294920,57.0
295944,53.4
296968,44.9
297992,45.1
299016,52.0
300040,43.7
301064,42.4
302088,41.5
303112,41.9
304136,55.8
305160,42.1
306184,40.9
307208,53.6
308232,52.5
309256,49.3
310280,55.1
311304,50.3
312328,47.8
313352,46.3
314376,58.2
315400,45.6
316424,45.0
317448,52.2
318472,46.8
319496,45.4
320520,43.8
321544,54.9
322568,47.4
323592,45.4
324616,58.9
325640,47.2
326664,55.8
327688,50.0
328712,47.5
329736,54.1
330760,56.4
331784,52.8
332808,51.0
333832,46.7
334856,57.2
335880,47.2
336904,44.8
337928,55.6
338952,49.6
339976,46.5
341000,64.8
342024,57.4
343048,49.0
344072,45.4
345096,57.0
346120,47.2
347144,45.7
348168,44.5
349192,60.3
350216,48.3
351240,58.4
352264,50.3
353288,57.5
354312,55.2
355336,56.1
356360,51.1
357384,47.7
358408,56.2
359432,50.5
360456,47.4
361480,47.1
362504,57.1
363528,53.6
364552,58.9
365576,51.3
366600,54.7
367624,55.7
368648,57.2
369672,56.7
370696,51.8
371720,54.7
372744,55.3
373768,50.5
374792,54.9
375816,53.0
376840,49.4
377864,53.3
378888,61.6
379912,57.1
380936,53.5
381960,57.5
382984,51.0
384008,53.8
385032,54.8
386056,51.9
387080,57.3
388104,54.4
389128,58.4
390152,54.5
391176,51.2
392200,58.0
393224,52.4
394248,60.4
395272,56.1
396296,60.0
397320,55.3
398344,58.5
399368,57.8
400392,51.1
401416,58.7
402440,70.9
403464,59.7
404488,56.7
405512,59.2
406536,53.4
407560,55.8
408584,56.9
409608,53.6
410632,69.3
411656,60.0
412680,56.2
413704,59.3
414728,55.9
415752,52.9
416776,60.3
417800,58.0
418824,58.2
419848,57.3
420872,53.8
421896,63.6
422920,60.6
423944,60.9
424968,59.4
425992,60.9
427016,55.1
428040,62.2
429064,56.7
430088,56.7
431112,62.5
432136,62.8
433160,65.2
434184,67.2
435208,56.8
436232,61.7
437256,56.4
438280,55.0
439304,61.3
440328,63.9
441352,61.6
442376,56.1
443400,61.3
444424,57.1
445448,62.0
446472,60.1
447496,60.3
448520,67.6
449544,65.7
450568,63.9
451592,63.0
452616,67.4
453640,60.7
454664,68.0
455688,58.8
456712,62.8
457736,62.4
458760,61.2
459784,62.1
460808,58.9
461832,64.3
462856,80.3
463880,63.2
464904,65.9
465928,61.3
466952,68.4
467976,63.5
469000,63.5
470024,62.6
471048,70.0
472072,60.6
473096,66.0
474120,74.1
475144,64.6
476168,58.4
477192,82.2
478216,63.4
479240,70.2
480264,63.0
481288,64.1
482312,68.9
483336,70.3
484360,64.2
485384,65.2
486408,61.4
487432,70.8
488456,65.0
489480,65.2
490504,61.6
491528,69.3
492552,63.8
493576,58.8
494600,68.3
495624,62.9
496648,64.4
497672,63.7
498696,67.2
499720,65.8
500744,61.9
501768,65.7
502792,61.7
503816,65.2
504840,65.0
505864,64.6
506888,67.8
507912,91.4
508936,78.4
509960,69.9
510984,63.7
512008,67.7
513032,65.6
514056,70.1
515080,66.0
516104,74.5
517128,64.4
518152,80.5
519176,64.3
520200,75.4
521224,66.6
522248,77.1
523272,69.1
524296,62.3
525320,67.5
526344,64.1
527368,68.5
528392,75.8
529416,70.7
530440,64.7
531464,67.7
532488,83.0
533512,65.8
534536,88.6
535560,77.7
536584,64.5
537608,78.5
538632,81.2
539656,73.1
540680,69.6
541704,79.3
542728,66.7
543752,84.9
544776,76.2
545800,66.4
546824,66.5
547848,65.0
548872,70.3
549896,68.2
550920,71.1
551944,80.9
552968,70.1
553992,88.0
555016,76.2
556040,76.1
557064,71.9
558088,77.6
559112,66.1
560136,75.2
561160,87.6
562184,76.9
563208,73.1
564232,73.7
565256,73.0
566280,85.8
567304,82.5
568328,78.1
569352,72.3
570376,67.1
571400,74.1
572424,76.2
573448,76.4
574472,77.1
575496,78.2
576520,77.7
577544,77.3
578568,75.2
579592,75.8
580616,82.5
581640,82.0
582664,80.6
583688,80.6
584712,85.7
585736,93.8
586760,82.7
587784,77.0
588808,78.0
589832,74.3
590856,106.1
591880,94.0
592904,71.2
593928,81.5
594952,71.4
595976,77.4
597000,80.7
598024,76.9
599048,83.2
600072,72.7
601096,86.2
602120,81.6
603144,83.9
604168,88.4
605192,78.6
606216,80.8
607240,72.8
608264,80.9
609288,77.2
610312,94.6
611336,79.3
612360,79.0
613384,84.1
614408,85.2
615432,95.2
616456,81.4
617480,76.0
618504,78.0
619528,85.3
620552,74.9
621576,77.6
622600,82.3
623624,80.0
624648,79.8
625672,88.4
626696,90.7
627720,77.2
628744,79.8
629768,82.8
630792,75.3
631816,78.6
632840,83.2
633864,103.9
634888,91.6
635912,75.9
636936,76.0
637960,94.0
638984,90.0
640008,90.5
641032,84.3
642056,75.1
643080,92.1
644104,80.9
645128,87.0
646152,77.4
647176,72.3
648200,77.7
649224,82.3
650248,77.3
651272,79.7
652296,74.3
653320,76.7
654344,76.4
655368,79.8
656392,78.2
657416,86.7
658440,76.7
659464,77.6
660488,79.6
661512,85.0
662536,82.0
663560,79.2
664584,101.7
665608,96.6
666632,75.2
667656,82.8
668680,85.9
669704,77.7
670728,84.2
671752,88.6
672776,78.6
673800,83.8
674824,79.8
675848,84.3
676872,81.2
677896,78.5
678920,75.0
679944,86.7
680968,80.6
681992,80.9
683016,82.9
684040,92.7
685064,87.7
686088,86.6
687112,82.4
688136,83.3
689160,79.0
690184,83.7
691208,77.9
692232,85.1
693256,78.8
694280,82.5
695304,88.3
696328,81.7
697352,89.1
698376,95.2
699400,87.1
700424,93.3
701448,89.5
702472,99.4
703496,93.9
704520,82.9
705544,88.0
706568,87.5
707592,84.6
708616,90.7
709640,83.7
710664,123.1
711688,87.4
712712,105.0
713736,89.2
714760,90.9
715784,92.1
716808,97.7
717832,98.8
718856,92.3
719880,88.4
720904,84.7
721928,94.0
722952,102.7
723976,98.8
725000,94.0
726024,100.8
727048,109.6
728072,91.5
729096,103.0
730120,95.0
731144,95.3
732168,93.0
733192,109.8
734216,116.5
735240,100.9
736264,87.2
737288,96.3
738312,87.0
739336,91.0
740360,96.4
741384,94.8
742408,94.6
743432,91.8
744456,88.3
745480,93.0
746504,104.0
747528,94.7
748552,97.1
749576,97.6
750600,92.9
751624,99.7
752648,99.5
753672,98.6
754696,96.2
755720,90.3
756744,100.9
757768,87.2
758792,89.8
759816,95.3
760840,86.8
761864,85.2
762888,93.2
763912,98.7
764936,88.4
765960,92.4
766984,88.0
768008,87.7
769032,92.7
770056,113.5
771080,104.1
772104,90.1
773128,93.1
774152,98.2
775176,91.2
776200,133.2
777224,94.4
778248,95.8
779272,95.8
780296,107.8
781320,105.7
782344,104.0
783368,94.9
784392,91.3
785416,88.3
786440,90.6
787464,93.2
788488,93.8
789512,100.8
790536,94.3
791560,90.4
792584,88.4
793608,93.8
794632,116.9
795656,126.4
796680,110.9
797704,102.4
798728,86.9
799752,139.7
800776,103.5
801800,104.4
802824,97.3
803848,106.9
804872,95.0
805896,96.0
806920,115.1
807944,115.6
808968,101.1
809992,97.7
811016,107.8
812040,110.3
813064,103.0
814088,114.7
815112,114.9
816136,102.7
817160,99.3
818184,93.5
819208,106.4
820232,117.1
821256,114.5
822280,118.0
823304,93.7
824328,95.8
825352,103.9
826376,96.0
827400,98.0
828424,100.4
829448,101.1
830472,98.2
831496,99.1
832520,98.6
833544,98.0
834568,98.8
835592,101.1
836616,105.5
837640,99.9
838664,100.9
839688,100.7
840712,122.7
841736,97.3
842760,103.1
843784,101.4
844808,99.2
845832,106.9
846856,104.9
847880,100.1
848904,101.0
849928,96.4
850952,103.2
851976,101.1
853000,101.3
854024,102.5
855048,104.3
856072,113.3
857096,126.8
858120,105.8
859144,93.5
860168,105.1
861192,105.4
862216,100.2
863240,105.5
864264,117.9
865288,109.7
866312,112.9
867336,109.7
868360,97.7
869384,110.2
870408,97.1
871432,110.1
872456,114.4
873480,116.1
874504,108.3
875528,117.0
876552,113.6
877576,104.4
878600,114.1
879624,98.0
880648,102.9
881672,104.5
882696,112.6
883720,111.5
884744,106.5
885768,102.8
886792,107.1
887816,100.8
888840,106.7
889864,104.6
890888,110.5
891912,102.2
892936,104.5
893960,109.8
894984,119.2
896008,113.7
897032,103.3
898056,104.0
899080,105.9
900104,107.3
901128,100.7
902152,107.8
903176,96.1
904200,100.8
905224,114.8
906248,108.7
907272,104.5
908296,106.3
909320,108.5
910344,104.8
911368,105.9
912392,118.6
913416,96.3
914440,132.3
915464,111.0
916488,99.1
917512,121.3
918536,116.1
919560,118.2
920584,118.6
921608,103.7
922632,101.3
923656,108.6
924680,104.3
925704,101.2
926728,112.5
927752,121.0
928776,113.2
929800,108.8
930824,127.5
931848,133.1
932872,125.2
933896,118.0
934920,112.9
935944,109.1
936968,108.7
937992,110.1
939016,104.9
940040,114.8
941064,128.7
942088,110.0
943112,114.5
944136,112.6
945160,120.8
946184,113.8
947208,118.8
948232,118.6
949256,110.5
950280,117.0
951304,123.8
952328,115.2
953352,110.2
954376,132.7
955400,120.5
956424,121.8
957448,130.8
958472,119.8
959496,126.6
960520,115.9
961544,118.4
962568,114.0
963592,105.3
964616,118.4
965640,124.7
966664,146.7
967688,112.2
968712,106.5
969736,113.6
970760,109.7
971784,120.6
972808,117.6
973832,112.5
974856,120.7
975880,112.8
976904,115.6
977928,123.5
978952,118.7
979976,122.3
981000,122.4
982024,108.8
983048,125.7
984072,122.3
985096,123.2
986120,121.6
987144,113.6
988168,122.8
989192,125.6
990216,121.9
991240,109.5
992264,130.4
993288,128.1
994312,110.0
995336,110.8
996360,117.0
997384,113.5
998408,120.4
999432,116.6
1000456,115.0
1001480,122.3
1002504,113.9
1003528,120.8
1004552,115.0
1005576,122.9
1006600,121.0
1007624,119.0
1008648,119.3
1009672,126.1
1010696,117.1
1011720,133.4
1012744,131.2
1013768,125.3
1014792,117.2
1015816,125.7
1016840,136.6
1017864,161.4
1018888,126.2
1019912,122.7
1020936,126.5
1021960,130.1
1022984,128.0
1024008,120.4
1025032,141.3
1026056,130.0
1027080,128.2
1028104,115.8
1029128,142.3
1030152,143.1
1031176,125.8
1032200,124.0
1033224,130.8
1034248,128.9
1035272,131.5
1036296,123.0
1037320,130.2
1038344,127.5
1039368,119.7
1040392,142.3
1041416,126.5
1042440,124.3
1043464,129.1
1044488,121.3
1045512,137.7
1046536,117.6
1047560,131.9
1048584,124.5
1049608,135.5
1050632,127.9
1051656,129.4
1052680,124.2
1053704,115.1
1054728,121.7
1055752,131.6
1056776,124.6
1057800,126.9
1058824,126.4
1059848,123.1
1060872,134.9
1061896,131.7
1062920,122.9
1063944,114.0
1064968,121.5
1065992,138.4
1067016,128.3
1068040,123.0
1069064,119.5
1070088,120.6
1071112,128.1
1072136,132.0
1073160,118.9
1074184,122.5
1075208,137.1
1076232,122.7
1077256,127.4
1078280,120.6
1079304,185.8
1080328,138.5
1081352,138.8
1082376,132.9
1083400,138.2
1084424,128.1
1085448,136.6
1086472,136.1
1087496,126.4
1088520,140.8
1089544,141.0
1090568,132.6
1091592,132.4
1092616,136.8
1093640,137.0
1094664,150.6
1095688,136.5
1096712,136.7
1097736,135.8
1098760,142.0
1099784,147.6
1100808,141.5
1101832,143.3
1102856,132.0
1103880,149.5
1104904,135.5
1105928,155.3
1106952,148.3
1107976,139.5
1109000,152.0
1110024,144.3
1111048,163.9
1112072,150.2
1113096,134.3
1114120,140.7
1115144,165.3
1116168,147.5
1117192,143.1
1118216,137.9
1119240,137.4
1120264,143.7
1121288,136.2
1122312,759.5
1123336,176.1
1124360,135.8
1125384,138.8
1126408,158.3
1127432,160.7
1128456,137.5
1129480,139.9
1130504,139.0
1131528,131.5
1132552,135.8
1133576,148.3
1134600,139.7
1135624,135.6
1136648,147.9
1137672,132.4
1138696,146.9
1139720,147.9
1140744,134.2
1141768,141.0
1142792,136.3
1143816,143.8
1144840,145.4
1145864,141.2
1146888,167.6
1147912,148.9
1148936,137.7
1149960,153.0
1150984,145.2
1152008,173.1
1153032,140.5
1154056,141.8
1155080,149.6
1156104,137.5
1157128,136.3
1158152,152.5
1159176,175.3
1160200,143.4
1161224,157.3
1162248,140.3
1163272,140.9
1164296,134.5
1165320,151.0
1166344,156.9
1167368,143.3
1168392,146.4
1169416,159.2
1170440,158.2
1171464,158.4
1172488,149.2
1173512,165.1
1174536,144.2
1175560,168.9
1176584,211.0
1177608,207.1
1178632,290.4
1179656,282.8
1180680,285.9
1181704,237.5
1182728,297.0
1183752,233.0
1184776,277.6
1185800,275.5
1186824,300.0
1187848,246.1
1188872,298.6
1189896,250.6
1190920,340.0
1191944,275.0
1192968,238.5
1193992,248.1
1195016,256.5
1196040,227.4
1197064,272.2
1198088,506.5
1199112,280.4
1200136,355.6
1201160,269.3
1202184,392.1
1203208,371.6
1204232,331.2
1205256,160.8
1206280,349.4
1207304,309.0
1208328,207.1
1209352,337.9
1210376,220.6
1211400,325.5
1212424,269.6
1213448,277.9
1214472,153.3
1215496,364.7
1216520,168.7
1217544,145.4
1218568,232.4
1219592,302.8
1220616,273.7
1221640,175.3
1222664,240.9
1223688,220.5
1224712,169.4
1225736,175.1
1226760,234.6
1227784,161.7
1228808,143.9
1229832,162.8
1230856,182.1
1231880,274.5
1232904,157.1
1233928,206.4
1234952,155.7
1235976,151.0
1237000,141.4
1238024,161.4
1239048,152.9
1240072,144.2
1241096,159.9
1242120,165.3
1243144,190.1
1244168,344.8
1245192,166.5
1246216,148.2
1247240,167.2
1248264,147.5
1249288,153.3
1250312,172.7
1251336,151.3
1252360,156.6
1253384,150.9
1254408,168.3
1255432,159.4
1256456,167.9
1257480,156.6
1258504,157.6
1259528,168.0
1260552,162.0
1261576,150.8
1262600,191.6
1263624,283.5
1264648,187.7
1265672,150.9
1266696,142.7
1267720,163.8
1268744,150.1
1269768,152.4
1270792,167.7
1271816,138.0
1272840,142.7
1273864,153.0
1274888,149.3
1275912,142.2
1276936,164.8
1277960,163.2
1278984,144.7
1280008,162.2
1281032,147.4
1282056,164.5
1283080,151.1
1284104,145.2
1285128,164.2
1286152,152.8
1287176,152.8
1288200,146.7
1289224,148.9
1290248,168.0
1291272,161.1
1292296,152.2
1293320,146.3
1294344,142.2
1295368,158.0
1296392,153.5
1297416,161.5
1298440,163.1
1299464,164.9
1300488,162.8
1301512,159.7
1302536,148.4
1303560,179.7
1304584,161.2
1305608,163.2
1306632,152.6
1307656,147.6
1308680,153.9
1309704,160.9
1310728,182.2
1311752,144.3
1312776,158.3
1313800,153.2
1314824,155.6
1315848,161.2
1316872,146.9
1317896,149.6
1318920,153.3
1319944,163.1
1320968,152.1
1321992,150.0
1323016,157.2
1324040,154.4
1325064,162.3
1326088,157.0
1327112,151.2
1328136,173.9
1329160,148.1
1330184,174.2
1331208,170.9
1332232,156.2
1333256,178.3
1334280,158.4
1335304,156.1
1336328,169.1
1337352,160.4
1338376,163.8
1339400,163.9
1340424,172.8
1341448,163.7
1342472,149.8
1343496,161.3
1344520,152.9
1345544,149.9
1346568,165.9
1347592,156.7
1348616,180.8
1349640,168.1
1350664,159.1
1351688,157.0
1352712,171.3
1353736,150.6
